content,score,tokens,tokens_no_stopwords,stemmed_tokens,sentiment_label
saya kasih bintang  dlu boleh diinfo cara reschedule penerbangan kalo sudah bayar full terus saya mau rubah tanggal keberangkatan contoh berangkat tgl  mlm apa bisa dirubah ke tgl  mlm dan apa kena biaya full soalnya sudah coba diarah kan perubahan terus muncul nominal yg harus dibayar full,2,"['saya', 'kasih', 'bintang', 'dlu', 'boleh', 'diinfo', 'cara', 'reschedule', 'penerbangan', 'kalo', 'sudah', 'bayar', 'full', 'terus', 'saya', 'mau', 'rubah', 'tanggal', 'keberangkatan', 'contoh', 'berangkat', 'tgl', 'mlm', 'apa', 'bisa', 'dirubah', 'ke', 'tgl', 'mlm', 'dan', 'apa', 'kena', 'biaya', 'full', 'soalnya', 'sudah', 'coba', 'diarah', 'kan', 'perubahan', 'terus', 'muncul', 'nominal', 'yg', 'harus', 'dibayar', 'full']","['kasih', 'bintang', 'dlu', 'diinfo', 'reschedule', 'penerbangan', 'kalo', 'bayar', 'full', 'rubah', 'tanggal', 'keberangkatan', 'contoh', 'berangkat', 'tgl', 'mlm', 'dirubah', 'tgl', 'mlm', 'kena', 'biaya', 'full', 'coba', 'diarah', 'perubahan', 'muncul', 'nominal', 'yg', 'dibayar', 'full']","['kasih', 'bintang', 'dlu', 'info', 'reschedule', 'terbang', 'kalo', 'bayar', 'full', 'rubah', 'tanggal', 'berangkat', 'contoh', 'berangkat', 'tgl', 'mlm', 'rubah', 'tgl', 'mlm', 'kena', 'biaya', 'full', 'coba', 'arah', 'ubah', 'muncul', 'nominal', 'yg', 'bayar', 'full']",0
sangat buruk  kamar tiba berubah type padahal udah di payment proses cancel pdhal kamar tidak sesuai fasilitas juga dipersulit  mending ke aplikasi yang jelas saja  bad aplikator  orang mau cancel disuruh nunggu setengah jam  kemudian disuruh nunggu  jam lagi dan seterusnya bikin kapok  harga diatas  rb di surabaya kalau di aplikasi lain bisa dapat bintang  disini cuma dapet hotel melati  jangan download,1,"['sangat', 'buruk', 'kamar', 'tiba', 'berubah', 'type', 'padahal', 'udah', 'di', 'payment', 'proses', 'cancel', 'pdhal', 'kamar', 'tidak', 'sesuai', 'fasilitas', 'juga', 'dipersulit', 'mending', 'ke', 'aplikasi', 'yang', 'jelas', 'saja', 'bad', 'aplikator', 'orang', 'mau', 'cancel', 'disuruh', 'nunggu', 'setengah', 'jam', 'kemudian', 'disuruh', 'nunggu', 'jam', 'lagi', 'dan', 'seterusnya', 'bikin', 'kapok', 'harga', 'diatas', 'rb', 'di', 'surabaya', 'kalau', 'di', 'aplikasi', 'lain', 'bisa', 'dapat', 'bintang', 'disini', 'cuma', 'dapet', 'hotel', 'melati', 'jangan', 'download']","['buruk', 'kamar', 'berubah', 'type', 'udah', 'payment', 'proses', 'cancel', 'pdhal', 'kamar', 'sesuai', 'fasilitas', 'dipersulit', 'mending', 'aplikasi', 'bad', 'aplikator', 'orang', 'cancel', 'disuruh', 'nunggu', 'jam', 'disuruh', 'nunggu', 'jam', 'bikin', 'kapok', 'harga', 'diatas', 'rb', 'surabaya', 'aplikasi', 'bintang', 'dapet', 'hotel', 'melati', 'download']","['buruk', 'kamar', 'ubah', 'type', 'udah', 'payment', 'proses', 'cancel', 'pdhal', 'kamar', 'sesuai', 'fasilitas', 'sulit', 'mending', 'aplikasi', 'bad', 'aplikator', 'orang', 'cancel', 'suruh', 'nunggu', 'jam', 'suruh', 'nunggu', 'jam', 'bikin', 'kapok', 'harga', 'atas', 'rb', 'surabaya', 'aplikasi', 'bintang', 'dapet', 'hotel', 'melati', 'download']",0
indonesia banyak wisatawan manca negara karena terkenal ramah sejuk  menyengkan dengan panorama yg sangat indah,5,"['indonesia', 'banyak', 'wisatawan', 'manca', 'negara', 'karena', 'terkenal', 'ramah', 'sejuk', 'menyengkan', 'dengan', 'panorama', 'yg', 'sangat', 'indah']","['indonesia', 'wisatawan', 'manca', 'negara', 'terkenal', 'ramah', 'sejuk', 'menyengkan', 'panorama', 'yg', 'indah']","['indonesia', 'wisatawan', 'manca', 'negara', 'kenal', 'ramah', 'sejuk', 'seng', 'panorama', 'yg', 'indah']",1
beberapa kali pesan hotel mendapatkan harga termurah di aplikasi ini semoga bisa terus bantu pelanggan mendapatkan akomodasi dengan harga terjangkau tuhan berkati sukses selalu,4,"['beberapa', 'kali', 'pesan', 'hotel', 'mendapatkan', 'harga', 'termurah', 'di', 'aplikasi', 'ini', 'semoga', 'bisa', 'terus', 'bantu', 'pelanggan', 'mendapatkan', 'akomodasi', 'dengan', 'harga', 'terjangkau', 'tuhan', 'berkati', 'sukses', 'selalu']","['kali', 'pesan', 'hotel', 'harga', 'termurah', 'aplikasi', 'semoga', 'bantu', 'pelanggan', 'akomodasi', 'harga', 'terjangkau', 'tuhan', 'berkati', 'sukses']","['kali', 'pesan', 'hotel', 'harga', 'murah', 'aplikasi', 'moga', 'bantu', 'langgan', 'akomodasi', 'harga', 'jangkau', 'tuhan', 'berkat', 'sukses']",1
bookingan saya tiba tiba di cancel sudah payment dengan jumlah lumayan besar dimohon untuk segera dapat dilakukan refund dengan segera agar saya bisa mengganti rating aplikasi,1,"['bookingan', 'saya', 'tiba', 'tiba', 'di', 'cancel', 'sudah', 'payment', 'dengan', 'jumlah', 'lumayan', 'besar', 'dimohon', 'untuk', 'segera', 'dapat', 'dilakukan', 'refund', 'dengan', 'segera', 'agar', 'saya', 'bisa', 'mengganti', 'rating', 'aplikasi']","['bookingan', 'cancel', 'payment', 'lumayan', 'dimohon', 'refund', 'mengganti', 'rating', 'aplikasi']","['bookingan', 'cancel', 'payment', 'lumayan', 'mohon', 'refund', 'ganti', 'rating', 'aplikasi']",0
sudah melakukan pembayaran sesuai pesanan tetapi konfirmasi pembayaran tidak kunjung ada alhasil uang pembayaran hotel melayang saya tidak sarankan untuk pakai aplikasi ini,1,"['sudah', 'melakukan', 'pembayaran', 'sesuai', 'pesanan', 'tetapi', 'konfirmasi', 'pembayaran', 'tidak', 'kunjung', 'ada', 'alhasil', 'uang', 'pembayaran', 'hotel', 'melayang', 'saya', 'tidak', 'sarankan', 'untuk', 'pakai', 'aplikasi', 'ini']","['pembayaran', 'sesuai', 'pesanan', 'konfirmasi', 'pembayaran', 'kunjung', 'alhasil', 'uang', 'pembayaran', 'hotel', 'melayang', 'sarankan', 'pakai', 'aplikasi']","['bayar', 'sesuai', 'pesan', 'konfirmasi', 'bayar', 'kunjung', 'alhasil', 'uang', 'bayar', 'hotel', 'layang', 'saran', 'pakai', 'aplikasi']",0
terima kasih pelayanannya luar biasa saya puas sebenarnya salah saya memesan hotel destinasi salah melihat alamat karena hotel sama area berbeda  tapi langsung di respon cepat refund saya saya senang sekali ,5,"['terima', 'kasih', 'pelayanannya', 'luar', 'biasa', 'saya', 'puas', 'sebenarnya', 'salah', 'saya', 'memesan', 'hotel', 'destinasi', 'salah', 'melihat', 'alamat', 'karena', 'hotel', 'sama', 'area', 'berbeda', 'tapi', 'langsung', 'di', 'respon', 'cepat', 'refund', 'saya', 'saya', 'senang', 'sekali']","['terima', 'kasih', 'pelayanannya', 'puas', 'salah', 'memesan', 'hotel', 'destinasi', 'salah', 'alamat', 'hotel', 'area', 'berbeda', 'langsung', 'respon', 'cepat', 'refund', 'senang']","['terima', 'kasih', 'layan', 'puas', 'salah', 'mes', 'hotel', 'destinasi', 'salah', 'alamat', 'hotel', 'area', 'beda', 'langsung', 'respon', 'cepat', 'refund', 'senang']",1
jangan gampang acc  bnyak yang kena tipu masa yang punya tempat gx bikin iklan  tiba tiba orang datang sudah bilang bayar lewat aplikasi agoda ini  minimal bukti bayar pajak dia tunjukin untuk syarat daftar biar gx bnyak org yg ngaku ngaku punya hotel,2,"['jangan', 'gampang', 'acc', 'bnyak', 'yang', 'kena', 'tipu', 'masa', 'yang', 'punya', 'tempat', 'gx', 'bikin', 'iklan', 'tiba', 'tiba', 'orang', 'datang', 'sudah', 'bilang', 'bayar', 'lewat', 'aplikasi', 'agoda', 'ini', 'minimal', 'bukti', 'bayar', 'pajak', 'dia', 'tunjukin', 'untuk', 'syarat', 'daftar', 'biar', 'gx', 'bnyak', 'org', 'yg', 'ngaku', 'ngaku', 'punya', 'hotel']","['gampang', 'acc', 'bnyak', 'kena', 'tipu', 'gx', 'bikin', 'iklan', 'orang', 'bilang', 'bayar', 'aplikasi', 'agoda', 'minimal', 'bukti', 'bayar', 'pajak', 'tunjukin', 'syarat', 'daftar', 'biar', 'gx', 'bnyak', 'org', 'yg', 'ngaku', 'ngaku', 'hotel']","['gampang', 'acc', 'bnyak', 'kena', 'tipu', 'gx', 'bikin', 'iklan', 'orang', 'bilang', 'bayar', 'aplikasi', 'agoda', 'minimal', 'bukti', 'bayar', 'pajak', 'tunjukin', 'syarat', 'daftar', 'biar', 'gx', 'bnyak', 'org', 'yg', 'ngaku', 'ngaku', 'hotel']",0
aplikasi yang sangat membantu dan menghemat waktu untuk mencari tiket yang terjangkau,5,"['aplikasi', 'yang', 'sangat', 'membantu', 'dan', 'menghemat', 'waktu', 'untuk', 'mencari', 'tiket', 'yang', 'terjangkau']","['aplikasi', 'membantu', 'menghemat', 'mencari', 'tiket', 'terjangkau']","['aplikasi', 'bantu', 'hemat', 'cari', 'tiket', 'jangkau']",1
mantapharga bersaing dan mudah di gunakankayaknya bakal jadi salah satu aplikasi andalan,5,"['mantapharga', 'bersaing', 'dan', 'mudah', 'di', 'gunakankayaknya', 'bakal', 'jadi', 'salah', 'satu', 'aplikasi', 'andalan']","['mantapharga', 'bersaing', 'mudah', 'gunakankayaknya', 'salah', 'aplikasi', 'andalan']","['mantapharga', 'saing', 'mudah', 'gunakankayaknya', 'salah', 'aplikasi', 'andal']",1
